dist_id,dist_desc
80001,Água Rasa
80002,Alto de Pinheiros
80003,Anhanguera
80004,Aricanduva
80005,Artur Alvim
80006,Barra Funda
80007,Bela Vista
80008,Belém
80009,Bom Retiro
80010,Brás
80011,Brasilândia
80012,Butantã
80013,Cachoeirinha
80014,Cambuci
80015,Campo Belo
80016,Campo Grande
80017,Campo Limpo
80018,Cangaiba
80019,Capão Redondo
80020,Carrão
80021,Casa Verde
80022,Cidade Ademar
80023,Cidade Dutra
80024,Cidade Lider
80025,Cidade Tiradentes
80026,Consolação
80027,Cursino
80028,Ermelino Matarazzo
80029,Freguesia do Ó
80030,Grajaú
80031,Guaianases
80033,Iguatemi
80034,Ipiranga
80035,Itaim Bibi
80036,Itaim Paulista
80037,Itaquera
80038,Jabaquara
80039,Jaçanã
80040,Jaguara
80041,Jaguaré
80042,Jaraguá
80043,Jardim Ângela
80044,Jardim Helena
80045,Jardim Paulista
80046,Jardim São Luís
80047,José Bonifácio
80096,Lajeado
80048,Lapa
80049,Liberdade
80050,Limão
80051,Mandaqui
80052,Marsilac
80032,Moema
80053,Mooca
80054,Morumbi
80055,Parelheiros
80056,Pari
80057,Parque do Carmo
80058,Pedreira
80059,Penha
80060,Perdizes
80061,Perus
80062,Pinheiros
80063,Pirituba
80064,Ponte Rasa
80065,Raposo Tavares
80066,República
80067,Rio Pequeno
80068,Sacomã
80069,Santa Cecília
80070,Santana
80071,Santo Amaro
80095,São Domingos
80072,São Lucas
80073,São Mateus
80074,São Miguel
80075,São Rafael
80076,Sapopemba
80077,Saúde
80078,Sé
80079,Socorro
80080,Tatuapé
80081,Tremembé
80082,Tucuruvi
80083,Vila Andrade
80084,Vila Curuçá
80085,Vila Formosa
80086,Vila Guilherme
80087,Vila Jacuí
80088,Vila Leopoldina
80089,Vila Maria
80090,Vila Mariana
80091,Vila Matilde
80092,Vila Medeiros
80093,Vila Prudente
80094,Vila Sônia
